Year,Competition,Guidelines,Brewer,Beer,Flight Medal,BOS Medal
2018,All Hail Pale Homebrew Competition,BJCP 2015,Fraser Withers,Cool As A,bronze,
2018,All Hail Pale Homebrew Competition,BJCP 2015,Mark Charlwood,Traditional Lambic,silver,
2018,All Hail Pale Homebrew Competition,BJCP 2015,Lee Immins,Ooldveek Singel,gold,
2018,All Hail Pale Homebrew Competition,BJCP 2015,Stew Horne,Atomium,HM,
2018,All Hail Pale Homebrew Competition,BJCP 2015,Steve Smith,Thyme Of The Saison,gold,
2018,All Hail Pale Homebrew Competition,BJCP 2015,Sam Jones,Vans,silver,
2018,All Hail Pale Homebrew Competition,BJCP 2015,Jaques Marais,Happy Daze,bronze,
2018,All Hail Pale Homebrew Competition,BJCP 2015,Mark Sanderson,Dingy Bar,gold,bronze
2018,Hertford Brewing Club #1 The English Sessions,BJCP 2015,Dan Keeley,Green Griffin Special,silver,
2018,Hertford Brewing Club #1 The English Sessions,BJCP 2015,Robbie Gaston,Milky Mild (Lactose-Free!),silver,
2018,Hertford Brewing Club #1 The English Sessions,BJCP 2015,Paul Spearman,Paul's English Golden Ale,silver,
2018,Hertford Brewing Club #1 The English Sessions,BJCP 2015,Paul Spearman,Paul's Best Bitter,silver,
2018,Hertford Brewing Club #1 The English Sessions,BJCP 2015,Rob Gallagher,Franklin's Crystal Diffraction,gold,
2018,Hertford Brewing Club #1 The English Sessions,BJCP 2015,Mark Sanderson,Mark Smiled,gold,silver
2018,Hertford Brewing Club #1 The English Sessions,BJCP 2015,Mark Sanderson,Little Sunflower,gold,bronze
2018,Hertford Brewing Club #1 The English Sessions,BJCP 2015,Mark Sanderson,The Cats Bit Her,gold,
2018,Hertford Brewing Club #1 The English Sessions,BJCP 2015,Lee Immins,Bring Your Daughter To The Porter,gold,gold
2018,"NAWB National, 2018",NGWBJ,Chris Pinnock,Dry Stout,bronze,
2018,"NAWB National, 2018",NGWBJ,Chris Pinnock,English IPA,bronze,
2018,"NAWB National, 2018",NGWBJ,Chris Pinnock,Porter,bronze,
2018,"NAWB National, 2018",NGWBJ,Chris Pinnock,Youngers 60/- 60th Anniversary,gold,
2018,London & Southeast Craft Brewing Competition,BJCP 2015,Rob Gallagher,Rubens' Red Venus,HM,
